timestamp,obsv_id,target_id,x,y,z
1734523534.258765697,2,5,3.959266347,0.033482060,0.171146792
1734523534.258765697,2,6,-4.370994835,-8.623146616,-0.016583013
1734523534.258765697,2,7,-3.947726609,0.191502632,0.068932080
1734523534.258765697,2,8,4.332058953,-8.596110540,-0.012754660
1734523534.258765697,2,9,-8.565246760,-4.317001643,-0.056326094
1734523534.318765879,3,0,-0.057923506,3.915410791,-0.208699599
1734523534.318765879,3,1,3.936258423,3.916600917,-0.052367494
1734523534.318765879,3,2,0.034077996,7.697545408,0.277565296
1734523534.318765879,3,4,-3.873979050,3.901088019,-0.022541361
1734523534.318765879,3,5,3.962111243,7.931669448,-0.000813671
1734523534.318765879,3,6,-4.130734221,-0.180997125,-0.073370292
1734523534.318765879,3,7,-3.921544319,8.003928390,-0.000919365
1734523534.318765879,3,8,3.694571817,-0.182650967,0.118735279
1734523534.318765879,3,9,-8.059442731,4.071086876,-0.060922766
1734523534.378765821,4,0,3.893291306,0.117306921,0.049216442
1734523534.378765821,4,1,7.573986790,-0.008279184,0.042660207
1734523534.378765821,4,2,4.111149884,4.162751882,0.026912119
1734523534.378765821,4,3,3.968615143,-3.911776913,0.035756016
1734523534.378765821,4,5,7.740294866,3.922155141,0.015461486
1734523534.378765821,4,6,-0.114760132,-3.642634155,-0.002807194
1734523534.378765821,4,7,-0.114577536,4.148440944,0.168643433
1734523534.378765821,4,8,8.095531047,-4.101716195,0.066144744
1734523534.378765821,4,9,-3.485664755,0.113260047,-0.174477313
1734523534.448765755,5,0,-3.914194935,-3.982749010,-0.016717235
1734523534.448765755,5,1,-0.065129398,-4.365719895,-0.009735376
1734523534.448765755,5,2,-3.880760025,0.105037586,0.185329658
1734523534.448765755,5,3,-3.944383742,-7.941306972,0.073338314
1734523534.448765755,5,4,-7.826609289,-3.916313721,0.014522352
1734523534.448765755,5,6,-8.175880495,-8.102474521,-0.053832697
1734523534.448765755,5,7,-8.485946597,0.049208095,-0.148586141
1734523534.448765755,5,8,0.097658108,-7.963043764,-0.070240578
1734523534.448765755,5,9,-7.174771575,-2.176863174,-0.184172656
1734523534.508765697,6,0,4.703719073,4.711429314,0.019581106
1734523534.508765697,6,1,7.820499430,3.942367822,0.016964431
1734523534.508765697,6,2,3.896011655,7.791653124,0.017919054
1734523534.508765697,6,3,4.278872209,-0.084471497,-0.053437162
1734523534.508765697,6,4,0.039477020,4.320056797,-0.084018794
1734523534.508765697,6,5,7.913532564,7.916187687,0.020259103
1734523534.508765697,6,7,0.042091044,7.129101169,0.058215705
1734523534.508765697,6,8,7.537551831,-0.129716163,0.050584139
1734523534.508765697,6,9,-4.060596555,4.036886687,-0.041385203
1734523534.568765879,7,0,3.894178348,-3.910609161,-0.048688060
1734523534.568765879,7,1,7.276293427,-3.715063548,0.011591846
1734523534.568765879,7,2,3.941278215,0.050924070,-0.006556906
1734523534.568765879,7,3,3.820735564,-7.706184567,0.055573431
1734523534.568765879,7,4,-0.210280348,-3.902876360,-0.166862102
1734523534.568765879,7,5,6.953003111,0.178351564,0.018809453
1734523534.568765879,7,6,-0.265846420,-7.495041184,-0.060690421
1734523534.568765879,7,8,7.360312271,-7.333137315,0.015276851
1734523534.568765879,7,9,-3.871817716,-3.854355997,0.026962345
1734523534.638765812,8,0,-3.824610236,3.996330125,-0.054567632
1734523534.638765812,8,1,-0.118740384,4.693887837,0.038224200
1734523534.638765812,8,2,-3.640548295,7.307380242,0.018678524
1734523534.638765812,8,3,-3.696714332,-0.098806053,0.134856774
1734523534.638765812,8,4,-7.721290566,3.802974511,0.006319303
1734523534.638765812,8,5,0.114064107,7.574823028,-0.087637642
1734523534.638765812,8,6,-8.268187312,-0.035680680,0.006087096
1734523534.638765812,8,7,-7.982761083,7.940531031,-0.093406193
1734523534.638765812,8,9,-7.160815545,2.225734218,-0.137214895
1734523534.698765755,9,0,7.431525417,0.251155093,0.036959703
1734523534.698765755,9,1,7.494093986,0.047720028,-0.293731393
1734523534.698765755,9,2,8.273542750,4.087835959,0.020058396
1734523534.698765755,9,3,8.338396255,-4.243923515,0.054464437
1734523534.698765755,9,4,3.843082433,-0.017049880,-0.065645283
1734523534.698765755,9,5,7.167592879,2.205032302,-0.115952016
1734523534.698765755,9,6,3.554037477,-3.863194256,-0.128593396
1734523534.698765755,9,7,4.035147941,4.052717913,-0.020433073
1734523534.698765755,9,8,7.084599379,-2.460930490,-0.047673461
1734523534.768765688,0,1,4.312836158,-0.121534839,0.080285720
1734523534.768765688,0,2,0.024950297,3.592205477,-0.192379683
1734523534.768765688,0,3,-0.292115964,-3.830032916,0.161999525
1734523534.768765688,0,4,-3.730183289,0.136057133,0.000943034
1734523534.768765688,0,5,4.047872004,3.652030643,-0.171134191
1734523534.768765688,0,6,-4.005164516,-4.015442419,-0.008933957
1734523534.768765688,0,7,-4.239032391,4.204873650,-0.015535295
1734523534.768765688,0,8,4.142258580,-4.111351921,0.004531214
1734523534.768765688,0,9,-8.815308542,-0.200013023,-0.149888561
1734523534.828765869,1,0,-4.327740886,0.195445879,-0.071048860
1734523534.828765869,1,2,-4.668032250,4.533743249,-0.132389703
1734523534.828765869,1,3,-4.190660812,-4.206742953,0.020718933
1734523534.828765869,1,4,-7.758097915,0.052185727,0.020702052
