timestamp,id,x,y,z
1734523611.238765717,3,0.612005391,-19.032833858,1.505242141
1734523611.238765717,4,-5.318349093,-1.530976704,1.505124302
1734523611.238765717,5,4.158545935,19.134455949,1.505012316
1734523611.238765717,6,1.997416756,-11.569646508,1.505197431
1734523611.238765717,7,-3.957754615,15.200495069,1.504956674
1734523611.238765717,8,3.660616614,-14.741567851,1.505304373
1734523611.238765717,9,-26.016695249,-9.436302127,1.505121396
1734523611.298765659,0,8.149149790,-0.678839445,1.504943957
1734523611.298765659,1,14.309638595,-0.266995899,1.505232145
1734523611.298765659,2,-0.083199465,18.375291015,1.505351034
1734523611.298765659,3,0.612005391,-19.032833858,1.505242141
1734523611.298765659,4,-5.318349093,-1.530976704,1.505124302
1734523611.298765659,5,4.158545935,19.134455949,1.505012316
1734523611.298765659,6,1.997416756,-11.569646508,1.505197431
1734523611.298765659,7,-3.957754615,15.200495069,1.504956674
1734523611.298765659,8,3.660616614,-14.741567851,1.505304373
1734523611.298765659,9,-26.016695249,-9.436302127,1.505121396
1734523611.358765841,0,8.149149790,-0.678839445,1.504943957
1734523611.358765841,1,14.309638595,-0.266995899,1.505232145
1734523611.358765841,2,-0.083199465,18.375291015,1.505351034
1734523611.358765841,3,0.612005391,-19.032833858,1.505242141
1734523611.358765841,4,-5.318349093,-1.530976704,1.505124302
1734523611.358765841,5,4.158545935,19.134455949,1.505012316
1734523611.358765841,6,1.997416756,-11.569646508,1.505197431
1734523611.358765841,7,-3.957754615,15.200495069,1.504956674
1734523611.358765841,8,3.660616614,-14.741567851,1.505304373
1734523611.358765841,9,-26.016695249,-9.436302127,1.505121396
1734523611.428765774,0,8.149149790,-0.678839445,1.504943957
1734523611.428765774,1,14.309638595,-0.266995899,1.505232145
1734523611.428765774,2,-0.083199465,18.375291015,1.505351034
1734523611.428765774,3,0.612005391,-19.032833858,1.505242141
1734523611.428765774,4,-5.318349093,-1.530976704,1.505124302
1734523611.428765774,5,4.158545935,19.134455949,1.505012316
1734523611.428765774,6,1.997416756,-11.569646508,1.505197431
1734523611.428765774,7,-3.957754615,15.200495069,1.504956674
1734523611.428765774,8,3.660616614,-14.741567851,1.505304373
1734523611.428765774,9,-26.016695249,-9.436302127,1.505121396
1734523611.488765717,0,8.149149790,-0.678839445,1.504943957
1734523611.488765717,1,14.309638595,-0.266995899,1.505232145
1734523611.488765717,2,-0.083199465,18.375291015,1.505351034
1734523611.488765717,3,0.612005391,-19.032833858,1.505242141
1734523611.488765717,4,-5.318349093,-1.530976704,1.505124302
1734523611.488765717,5,4.158545935,19.134455949,1.505012316
1734523611.488765717,6,1.997416756,-11.569646508,1.505197431
1734523611.488765717,7,-3.957754615,15.200495069,1.504956674
1734523611.488765717,8,3.660616614,-14.741567851,1.505304373
1734523611.488765717,9,-26.016695249,-9.436302127,1.505121396
1734523611.548765659,0,8.149149790,-0.678839445,1.504943957
1734523611.548765659,1,14.309638595,-0.266995899,1.505232145
1734523611.548765659,2,-0.083199465,18.375291015,1.505351034
1734523611.548765659,3,0.612005391,-19.032833858,1.505242141
1734523611.548765659,4,-5.318349093,-1.530976704,1.505124302
1734523611.548765659,5,4.158545935,19.134455949,1.505012316
1734523611.548765659,6,1.997416756,-11.569646508,1.505197431
1734523611.548765659,7,-3.957754615,15.200495069,1.504956674
1734523611.548765659,8,3.660616614,-14.741567851,1.505304373
1734523611.548765659,9,-26.016695249,-9.436302127,1.505121396
1734523611.618765831,0,8.149149790,-0.678839445,1.504943957
1734523611.618765831,1,14.309638595,-0.266995899,1.505232145
1734523611.618765831,2,-0.083199465,18.375291015,1.505351034
1734523611.618765831,3,0.612005391,-19.032833858,1.505242141
1734523611.618765831,4,-5.318349093,-1.530976704,1.505124302
1734523611.618765831,5,4.158545935,19.134455949,1.505012316
1734523611.618765831,6,1.997416756,-11.569646508,1.505197431
1734523611.618765831,7,-3.957754615,15.200495069,1.504956674
1734523611.618765831,8,3.660616614,-14.741567851,1.505304373
1734523611.618765831,9,-26.016695249,-9.436302127,1.505121396
1734523611.678765774,0,8.149149790,-0.678839445,1.504943957
1734523611.678765774,1,14.309638595,-0.266995899,1.505232145
1734523611.678765774,2,-0.083199465,18.375291015,1.505351034
1734523611.678765774,3,0.612005391,-19.032833858,1.505242141
1734523611.678765774,4,-5.318349093,-1.530976704,1.505124302
1734523611.678765774,5,4.158545935,19.134455949,1.505012316
1734523611.678765774,6,1.997416756,-11.569646508,1.505197431
1734523611.678765774,7,-3.957754615,15.200495069,1.504956674
1734523611.678765774,8,3.660616614,-14.741567851,1.505304373
1734523611.678765774,9,-26.016695249,-9.436302127,1.505121396
1734523611.748765707,0,8.635375643,-0.721384008,1.507983964
1734523611.748765707,1,14.716464309,-0.278733861,1.505250412
1734523611.748765707,2,-0.098700321,19.036916861,1.505336400
1734523611.748765707,3,0.641901975,-19.634243137,1.505264399
1734523611.748765707,4,-5.384964805,-1.605494404,1.505134804
1734523611.748765707,5,4.170120075,19.734205497,1.505028637
1734523611.748765707,6,2.328843042,-11.985998206,1.505582029
1734523611.748765707,7,-3.958507358,15.660413856,1.504972578
1734523611.748765707,8,3.646154078,-15.361184464,1.505282418
1734523611.748765707,9,-26.568970358,-9.902003453,1.505133099
1734523611.808765650,0,8.635375643,-0.721384008,1.507983964
1734523611.808765650,1,14.716464309,-0.278733861,1.505250412
1734523611.808765650,2,-0.098700321,19.036916861,1.505336400
1734523611.808765650,3,0.641901975,-19.634243137,1.505264399
1734523611.808765650,4,-5.384964805,-1.605494404,1.505134804
1734523611.808765650,5,4.170120075,19.734205497,1.505028637
1734523611.808765650,6,2.328843042,-11.985998206,1.505582029
1734523611.808765650,7,-3.958507358,15.660413856,1.504972578
1734523611.808765650,8,3.646154078,-15.361184464,1.505282418
1734523611.808765650,9,-26.568970358,-9.902003453,1.505133099
1734523611.868765831,0,8.635375643,-0.721384008,1.507983964
1734523611.868765831,1,14.716464309,-0.278733861,1.505250412
1734523611.868765831,2,-0.098700321,19.036916861,1.505336400
1734523611.868765831,3,0.641901975,-19.634243137,1.505264399
1734523611.868765831,4,-5.384964805,-1.605494404,1.505134804
1734523611.868765831,5,4.170120075,19.734205497,1.505028637
1734523611.868765831,6,2.328843042,-11.985998206,1.505582029
1734523611.868765831,7,-3.958507358,15.660413856,1.504972578
1734523611.868765831,8,3.646154078,-15.361184464,1.505282418
1734523611.868765831,9,-26.568970358,-9.902003453,1.505133099
1734523611.928765774,0,8.635375643,-0.721384008,1.507983964
1734523611.928765774,1,14.716464309,-0.278733861,1.505250412
1734523611.928765774,2,-0.098700321,19.036916861,1.505336400
1734523611.928765774,3,0.641901975,-19.634243137,1.505264399
1734523611.928765774,4,-5.384964805,-1.605494404,1.505134804
1734523611.928765774,5,4.170120075,19.734205497,1.505028637
1734523611.928765774,6,2.328843042,-11.985998206,1.505582029
1734523611.928765774,7,-3.958507358,15.660413856,1.504972578
1734523611.928765774,8,3.646154078,-15.361184464,1.505282418
1734523611.928765774,9,-26.568970358,-9.902003453,1.505133099
1734523611.998765707,0,8.635375643,-0.721384008,1.507983964
1734523611.998765707,1,14.716464309,-0.278733861,1.505250412
1734523611.998765707,2,-0.098700321,19.036916861,1.505336400
1734523611.998765707,3,0.641901975,-19.634243137,1.505264399
1734523611.998765707,4,-5.384964805,-1.605494404,1.505134804
1734523611.998765707,5,4.170120075,19.734205497,1.505028637
1734523611.998765707,6,2.328843042,-11.985998206,1.505582029
1734523611.998765707,7,-3.958507358,15.660413856,1.504972578
1734523611.998765707,8,3.646154078,-15.361184464,1.505282418
1734523611.998765707,9,-26.568970358,-9.902003453,1.505133099
1734523612.058765650,0,8.635375643,-0.721384008,1.507983964
1734523612.058765650,1,14.716464309,-0.278733861,1.505250412
1734523612.058765650,2,-0.098700321,19.036916861,1.505336400
1734523612.058765650,3,0.641901975,-19.634243137,1.505264399
1734523612.058765650,4,-5.384964805,-1.605494404,1.505134804
1734523612.058765650,5,4.170120075,19.734205497,1.505028637
1734523612.058765650,6,2.328843042,-11.985998206,1.505582029
1734523612.058765650,7,-3.958507358,15.660413856,1.504972578
1734523612.058765650,8,3.646154078,-15.361184464,1.505282418
1734523612.058765650,9,-26.568970358,-9.902003453,1.505133099
1734523612.128765821,0,8.635375643,-0.721384008,1.507983964
1734523612.128765821,1,14.716464309,-0.278733861,1.505250412
1734523612.128765821,2,-0.098700321,19.036916861,1.505336400
1734523612.128765821,3,0.641901975,-19.634243137,1.505264399
1734523612.128765821,4,-5.384964805,-1.605494404,1.505134804
1734523612.128765821,5,4.170120075,19.734205497,1.505028637
1734523612.128765821,6,2.328843042,-11.985998206,1.505582029
1734523612.128765821,7,-3.958507358,15.660413856,1.504972578
1734523612.128765821,8,3.646154078,-15.361184464,1.505282418
1734523612.128765821,9,-26.568970358,-9.902003453,1.505133099
1734523612.188765764,0,8.635375643,-0.721384008,1.507983964
1734523612.188765764,1,14.716464309,-0.278733861,1.505250412
1734523612.188765764,2,-0.098700321,19.036916861,1.505336400
1734523612.188765764,3,0.641901975,-19.634243137,1.505264399
1734523612.188765764,4,-5.384964805,-1.605494404,1.505134804
1734523612.188765764,5,4.170120075,19.734205497,1.505028637
1734523612.188765764,6,2.328843042,-11.985998206,1.505582029
1734523612.188765764,7,-3.958507358,15.660413856,1.504972578
1734523612.188765764,8,3.646154078,-15.361184464,1.505282418
1734523612.188765764,9,-26.568970358,-9.902003453,1.505133099
